sampno,latitude,longitude,GEOID,latitude_work,longitude_work,GEOID_work,hh_income,hh_veh,own_home,race,has_children,hhsize,w_travel,wthhfin,comm_id_home,comm_id_work
70002275,41.929327,-87.711981,17031220602,41.985435,-87.86942,17031770700,125000.0,1,False,6,False,2,5,69.4432,22,76.0
70002294,41.971201,-87.705805,17031140100,41.880986,-87.63307,17031839100,67500.0,0,True,3,False,1,5,73.6225,14,32.0
70002355,41.972668,-87.663866,17031031100,41.880986,-87.63307,17031839100,125000.0,1,True,1,False,1,5,73.6225,3,32.0
70002359,41.880986,-87.63307,17031839100,41.878635,-87.642924,17031281900,180000.0,0,True,1,False,2,5,96.2454,32,28.0
70002361,41.93631,-87.651562,17031063000,41.880986,-87.63307,17031839100,67500.0,0,False,1,False,1,5,68.4756,6,32.0
70002373,41.812708,-87.638408,17031610800,41.830207,-87.774547,17031814500,125000.0,3,True,1,True,4,5,81.6468,61,
70002384,41.892196,-87.68429,17031242900,41.858781,-87.845006,17031817900,82500.0,2,False,1,False,3,5,210.4059,24,
70002391,41.985622,-87.682886,17031040100,41.976522,-87.976488,17043840101,67500.0,1,False,1,False,2,5,73.6225,4,
70002410,41.856144,-87.648978,17031310300,41.880986,-87.63307,17031839100,125000.0,0,False,1,False,1,5,68.4132,31,32.0
70002413,41.978875,-87.657871,17031030703,41.880986,-87.63307,17031839100,125000.0,0,False,1,False,2,5,74.5731,77,32.0
70002414,41.943244,-87.643458,17031061901,41.880986,-87.63307,17031839100,67500.0,0,False,6,False,1,5,68.5129,6,32.0
70002416,41.942699,-87.731002,17031161300,41.886447,-87.619467,17031320100,125000.0,1,True,1,True,3,5,75.4759,16,32.0
70002430,41.972545,-87.678818,17031040402,41.880986,-87.63307,17031839100,125000.0,0,False,1,False,1,5,73.6225,4,32.0
70002468,41.870416,-87.675079,17031838200,41.870416,-87.675079,17031838200,10000.0,0,False,2,False,1,2,69.1752,28,28.0
70002480,41.869903,-87.631213,17031839000,41.892991,-87.620956,17031081403,67500.0,1,True,1,True,2,3,140.6536,32,8.0
70002481,41.906031,-87.675314,17031241400,41.885452,-87.643498,17031280100,180000.0,1,False,1,False,1,5,129.0498,24,28.0
70002487,41.988969,-87.818041,17031100400,41.880986,-87.63307,17031839100,82500.0,2,True,1,True,4,5,103.6256,10,32.0
70002513,41.891022,-87.612931,17031081402,41.83496,-87.62517,17031842000,180000.0,1,True,2,False,2,5,358.1137,8,35.0
70002564,41.685657,-87.685071,17031750400,41.685657,-87.685071,17031750400,125000.0,2,True,1,True,4,3,822.6653,75,75.0
70002615,41.880986,-87.63307,17031839100,41.870416,-87.675079,17031838200,125000.0,0,False,3,False,2,5,75.1875,32,28.0
70002627,41.863139,-87.672937,17031842900,41.863139,-87.672937,17031842900,42500.0,0,False,1,False,1,-1,383.9143,28,28.0
70002636,41.972545,-87.678818,17031040402,41.868458,-87.642965,17031841900,32500.0,1,False,1,True,3,2,662.6029,4,28.0
70002674,41.914754,-87.654465,17031832600,41.880986,-87.63307,17031839100,180000.0,1,True,1,True,4,5,73.5157,7,32.0
70002709,41.951517,-87.641778,17031060900,41.880986,-87.63307,17031839100,67500.0,0,False,3,False,3,5,70.5567,6,32.0
70002713,41.892433,-87.669624,17031243200,41.885452,-87.643498,17031280100,125000.0,1,True,1,False,2,5,68.7029,24,28.0
70002750,42.006277,-87.667683,17031010600,42.046455,-87.687728,17031809500,42500.0,0,False,1,False,1,5,73.8131,1,
